date,arrondissement,median_price,median_surf_m2,median_piece,percent_house,typology,annual_variation
2020,20,9707.351891506069,40.16,2.0,7.046790690182814,['Appartement'],0.0
2020,16,11825.04630289215,69.66,3.0,8.94741080776355,['Appartement'],0.0
2020,15,10933.333333333334,45.48,2.0,10.864137875493276,['Appartement'],0.0
2020,3,13014.156914697873,38.105000000000004,2.0,2.1422243698155756,['Appartement'],0.0
2020,1,13505.402160864343,39.85,2.0,0.8134009825239591,['Appartement'],0.0
2020,8,13004.791238877482,73.64,3.0,2.0697430941451236,['Appartement'],0.0
2020,17,11474.469305794606,45.1,2.0,9.253442860594346,['Appartement'],0.0
2020,10,10903.42679127726,37.57,2.0,4.5179995167914955,['Appartement'],0.0
2020,18,10355.978021435796,36.595,2.0,12.627848916807602,['Appartement'],0.0
2020,4,14090.52092228864,35.75,2.0,1.763711041314327,['Appartement'],0.0
2020,5,13455.04666601259,39.5,2.0,2.4321494724973824,['Appartement'],0.0
2020,7,14943.31844726898,55.07,2.0,2.4079890472738987,['Appartement'],0.0
2020,6,15307.504741262532,45.09,2.0,2.134170894741081,['Appartement'],0.0
2020,11,11247.849675797275,35.29,2.0,7.7071756462913745,['Appartement'],0.0
2020,9,12221.695626474395,48.08,2.0,3.2536039300958364,['Appartement'],0.0
2020,12,10405.811138014527,42.5,2.0,4.97704759603769,['Appartement'],0.0
2020,13,10179.335549953994,38.225,2.0,3.962309736651365,['Appartement'],0.0
2020,14,10832.390648567118,41.125,2.0,5.363614399613433,['Appartement'],0.0
2020,19,9529.70297029703,42.79,2.0,5.99983893049851,['Appartement'],0.0
2020,2,12609.756097560976,31.52,2.0,1.7153901908673592,['Appartement'],0.0
2021,10,10638.838444871102,41.235,2.0,5.885841363973314,['Appartement'],
2021,20,9686.139964728143,40.94,2.0,6.908821349147517,['Appartement'],
2021,16,11712.954590837015,72.205,3.0,8.502594514455152,['Appartement'],
2021,15,10821.278190298692,45.72,2.0,10.474425500370645,['Appartement'],
2021,8,13001.42218610321,66.0,3.0,2.223869532987398,['Appartement'],
2021,3,12933.07170239211,41.955,2.0,2.083024462564863,['Appartement'],
2021,1,13773.604435394329,43.185,2.0,0.9636767976278725,['Appartement'],
2021,18,10272.565401999726,36.75,2.0,11.42698295033358,['Appartement'],
2021,9,11920.35865224764,48.625,2.0,4.047442550037064,['Appartement'],
2021,17,11391.748646381457,47.08,2.0,9.52186805040771,['Appartement'],
2021,2,12180.656934306568,33.6,2.0,1.6567828020756115,['Appartement'],
2021,19,9543.049274791887,42.705,2.0,6.219421793921423,['Appartement'],
2021,4,13622.852105169048,44.195,2.0,1.5937731653076352,['Appartement'],
2021,5,12998.552636884946,40.15,2.0,2.2535211267605635,['Appartement'],
2021,6,15365.616597630986,55.415,3.0,2.2535211267605635,['Appartement'],
2021,7,14924.99351154944,64.25,3.0,2.464788732394366,['Appartement'],
2021,14,10736.45361516524,42.54,2.0,4.9110452186805045,['Appartement'],
2021,13,9908.60606060606,40.85,2.0,4.495922905856189,['Appartement'],
2021,12,10372.940433560321,42.025,2.0,4.670126019273536,['Appartement'],
