Annee_financement,Arrondissement,Nb_logements_sociaux,percent_logement_sociaux_finances
2001,18,211,6.0894660894660895
2001,12,412,11.89033189033189
2001,7,0,0.0
2001,15,349,10.072150072150071
2001,3,85,2.4531024531024532
2001,17,49,1.4141414141414141
2001,20,216,6.233766233766234
2001,9,44,1.2698412698412698
2001,10,184,5.31024531024531
2001,16,310,8.946608946608947
2001,5,0,0.0
2001,13,500,14.43001443001443
2001,11,63,1.8181818181818181
2001,14,294,8.484848484848484
2001,19,647,18.672438672438673
2001,2,0,0.0
2001,1,0,0.0
2001,6,17,0.4906204906204906
2001,4,0,0.0
2001,8,84,2.4242424242424243
2002,18,728,20.623229461756374
2002,12,312,8.838526912181303
2002,7,30,0.8498583569405099
2002,15,448,12.691218130311615
2002,3,136,3.8526912181303117
2002,17,294,8.328611898016996
2002,20,155,4.390934844192635
2002,9,63,1.7847025495750708
2002,10,123,3.4844192634560907
2002,16,73,2.0679886685552407
2002,5,74,2.096317280453258
2002,13,412,11.671388101983004
2002,11,295,8.356940509915015
2002,14,123,3.4844192634560907
2002,19,128,3.6260623229461757
2002,2,42,1.1898016997167138
2002,1,0,0.0
2002,6,0,0.0
2002,4,0,0.0
2002,8,94,2.6628895184135977
2003,18,209,5.9714285714285715
2003,12,146,4.171428571428572
2003,7,0,0.0
2003,15,555,15.857142857142858
2003,3,75,2.142857142857143
2003,17,208,5.942857142857143
2003,20,180,5.142857142857143
2003,9,277,7.914285714285715
2003,10,97,2.7714285714285714
2003,16,49,1.4
2003,5,117,3.342857142857143
2003,13,291,8.314285714285715
2003,11,255,7.285714285714286
2003,14,197,5.628571428571429
2003,19,733,20.942857142857143
2003,2,15,0.42857142857142855
2003,1,38,1.0857142857142856
2003,6,0,0.0
2003,4,36,1.0285714285714285
2003,8,22,0.6285714285714286
2004,18,359,8.903769841269842
2004,12,727,18.03075396825397
2004,7,15,0.37202380952380953
2004,15,196,4.861111111111111
2004,3,39,0.9672619047619048
2004,17,97,2.4057539682539684
2004,20,433,10.739087301587302
2004,9,66,1.6369047619047619
2004,10,390,9.672619047619047
2004,16,63,1.5625
2004,5,18,0.44642857142857145
2004,13,346,8.581349206349206
2004,11,378,9.375
2004,14,89,2.2073412698412698
2004,19,637,15.79861111111111
2004,2,74,1.8353174603174602
2004,1,0,0.0
2004,6,71,1.7609126984126984
2004,4,24,0.5952380952380952
2004,8,10,0.24801587301587302
2005,18,768,18.754578754578755
2005,12,353,8.62026862026862
2005,7,113,2.7594627594627594
2005,15,546,13.333333333333334
2005,3,53,1.2942612942612943
2005,17,126,3.076923076923077
2005,20,353,8.62026862026862
2005,9,60,1.465201465201465
2005,10,222,5.4212454212454215
2005,16,2,0.04884004884004884
2005,5,2,0.04884004884004884
2005,13,130,3.1746031746031744
2005,11,418,10.207570207570207
2005,14,223,5.445665445665446
2005,19,607,14.822954822954824
2005,2,18,0.43956043956043955
2005,1,19,0.463980463980464
2005,6,0,0.0
2005,4,12,0.29304029304029305
2005,8,70,1.7094017094017093
2006,18,425,8.127749091604514
2006,12,367,7.018550392044368
2006,7,22,0.42073054121246894
2006,15,802,15.337540638745457
2006,3,32,0.6119716963090457
2006,17,434,8.299866131191433
2006,20,165,3.155479059093517
2006,9,76,1.4534327787339836
2006,10,32,0.6119716963090457
2006,16,48,0.9179575444635686
2006,5,68,1.3004398546567222
2006,13,450,8.605851979345955
2006,11,367,7.018550392044368
2006,14,875,16.733601070950467
2006,19,896,17.13520749665328
2006,2,40,0.7649646203863071
2006,1,0,0.0
2006,6,60,1.1474469305794608
2006,4,48,0.9179575444635686
2006,8,22,0.42073054121246894
2007,18,684,11.094890510948906
2007,12,696,11.289537712895378
2007,7,45,0.7299270072992701
2007,15,519,8.418491484184916
2007,3,36,0.583941605839416
2007,17,297,4.817518248175182
2007,20,430,6.9748580697485805
2007,9,268,4.347120843471209
2007,10,352,5.709651257096513
