Date,Valeur fonciere,Arrondissement,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot,Nombre de lots,Type local,Surface reelle bati ,Nombre pieces principales,Surface terrain,Total Surface Carrez,Prix par m2
2021,25000.0,10,49.08,0.0,0.0,0.0,0.0,1,Appartement,,2,0,49.08,509.37245313773434
2021,60000.0,10,42.19,0.0,0.0,0.0,0.0,1,Appartement,,3,0,42.19,1422.137947380896
2021,35000.0,20,92.49,0.0,0.0,0.0,0.0,1,Appartement,,3,0,92.49,378.4192885717375
2021,77500.0,20,74.3,0.0,0.0,0.0,0.0,4,Appartement,,3,0,74.3,1043.0686406460297
2021,641000.0,16,58.08,0.0,0.0,0.0,0.0,2,Appartement,,2,0,58.08,11036.501377410468
2021,1600876.0,16,131.4,0.0,0.0,0.0,0.0,2,Appartement,,4,0,131.4,12183.226788432268
2021,705000.0,16,0.0,74.21,0.0,0.0,0.0,2,Appartement,,3,0,74.21,9500.067376364372
2021,299000.0,15,32.08,0.0,0.0,0.0,0.0,1,Appartement,,2,0,32.08,9320.448877805487
2021,460000.0,16,62.4,0.0,0.0,0.0,0.0,1,Appartement,,2,0,62.4,7371.794871794872
2021,824000.0,16,84.97,0.0,0.0,0.0,0.0,1,Appartement,,4,0,84.97,9697.540308344122
2021,680000.0,16,0.0,79.93,0.0,0.0,0.0,2,Appartement,,4,0,79.93,8507.444013511822
2021,423700.0,16,0.0,41.23,0.0,0.0,0.0,2,Appartement,,1,0,41.23,10276.497695852535
2021,284000.0,16,0.0,29.65,0.0,0.0,0.0,2,Appartement,,1,0,29.65,9578.414839797639
2021,323000.0,15,32.86,0.0,0.0,0.0,0.0,1,Appartement,,2,0,32.86,9829.580036518564
2021,847550.0,16,103.78,0.0,0.0,0.0,0.0,1,Appartement,,4,0,103.78,8166.795143572943
2021,659350.0,16,72.95,0.0,0.0,0.0,0.0,1,Appartement,,3,0,72.95,9038.382453735436
2021,700000.0,16,0.0,100.21,0.0,0.0,0.0,2,Appartement,,5,0,100.21,6985.330805308852
2021,269600.0,15,33.15,0.0,0.0,0.0,0.0,1,Appartement,,1,0,33.15,8132.730015082957
2021,1082470.0,16,97.7,0.0,0.0,0.0,0.0,2,Appartement,,3,0,97.7,11079.529170931422
2021,275900.0,15,31.8,0.0,0.0,0.0,0.0,1,Appartement,,2,0,31.8,8676.100628930817
2021,380000.0,16,0.0,46.05,0.0,0.0,0.0,2,Appartement,,2,0,46.05,8251.900108577633
2021,380000.0,15,51.95,0.0,0.0,0.0,0.0,1,Appartement,,3,0,51.95,7314.725697786333
2021,618537.0,16,79.23,0.0,0.0,0.0,0.0,1,Appartement,,3,0,79.23,7806.853464596743
2021,300000.0,15,32.02,0.0,0.0,0.0,0.0,1,Appartement,,2,0,32.02,9369.144284821985
2021,645000.0,16,85.0,0.0,0.0,0.0,0.0,2,Appartement,,3,0,85.0,7588.235294117647
2021,940000.0,16,102.08,0.0,0.0,0.0,0.0,2,Appartement,,4,0,102.08,9208.46394984326
2021,55500.0,16,6.94,0.0,0.0,0.0,0.0,1,Appartement,,1,0,6.94,7997.118155619596
2021,380000.0,16,0.0,43.09,0.0,0.0,0.0,2,Appartement,,2,0,43.09,8818.75145045254
2021,350800.0,16,36.09,0.0,0.0,0.0,0.0,1,Appartement,,1,0,36.09,9720.14408423386
2021,728493.0,16,75.66,0.0,0.0,0.0,0.0,1,Appartement,,4,0,75.66,9628.509119746233
2021,1480000.0,8,116.01,0.0,0.0,0.0,0.0,1,Appartement,,5,0,116.01,12757.520903370398
2021,300000.0,3,19.39,0.0,0.0,0.0,0.0,1,Appartement,,1,0,19.39,15471.892728210418
2021,1000000.0,3,0.0,66.13,0.0,0.0,0.0,2,Appartement,,2,0,66.13,15121.729925903524
2021,1525559.0,8,83.16,0.0,0.0,0.0,0.0,1,Appartement,,4,0,83.16,18344.86531986532
2021,375000.0,3,0.0,25.06,0.0,0.0,0.0,2,Appartement,,1,0,25.06,14964.086193136473
2021,1250000.0,3,100.84,0.0,0.0,0.0,0.0,1,Appartement,,3,0,100.84,12395.874652915509
2021,260000.0,3,16.31,0.0,0.0,0.0,0.0,1,Appartement,,1,0,16.31,15941.14040465972
2021,285000.0,8,28.62,0.0,0.0,0.0,0.0,1,Appartement,,2,0,28.62,9958.071278825995
2021,356644.03,1,16.41,0.0,0.0,0.0,0.0,1,Appartement,,1,0,16.41,21733.3351614869
2021,377000.0,8,30.92,0.0,0.0,0.0,0.0,1,Appartement,,2,0,30.92,12192.755498059507
2021,705000.0,3,66.42,0.0,0.0,0.0,0.0,4,Appartement,,3,0,66.42,10614.27280939476
2021,1065000.0,3,0.0,66.08,0.0,0.0,0.0,2,Appartement,,3,0,66.08,16116.82808716707
2021,942700.0,3,80.2,0.0,0.0,0.0,0.0,3,Appartement,,2,0,80.2,11754.364089775561
2021,1350000.0,1,104.8,0.0,0.0,0.0,0.0,2,Appartement,,4,0,104.8,12881.679389312978
2021,2970760.0,8,200.12,0.0,0.0,0.0,0.0,1,Appartement,,6,0,200.12,14844.893064161502
2021,668700.0,3,50.75,0.0,0.0,0.0,0.0,2,Appartement,,2,0,50.75,13176.354679802957
2021,1060000.0,8,81.51,0.0,0.0,0.0,0.0,2,Appartement,,3,0,81.51,13004.539320328793
2021,1324700.0,8,0.0,81.44,0.0,0.0,0.0,2,Appartement,,3,0,81.44,16265.962671905698
2021,1599875.0,8,102.31,0.0,0.0,0.0,0.0,1,Appartement,,4,0,102.31,15637.523213762095
2021,300000.0,1,22.13,0.0,0.0,0.0,0.0,3,Appartement,,2,0,22.13,13556.258472661546
2021,1599500.0,8,130.67,0.0,0.0,0.0,0.0,2,Appartement,,5,0,130.67,12240.759164307034
2021,480000.0,3,39.91,0.0,0.0,0.0,0.0,2,Appartement,,2,0,39.91,12027.060886995741
2021,994460.0,3,63.52,0.0,0.0,0.0,0.0,1,Appartement,,2,0,63.52,15655.856423173802
2021,175500.0,3,9.68,0.0,0.0,0.0,0.0,1,Appartement,,1,0,9.68,18130.165289256198
2021,948500.0,1,0.0,76.46,0.0,0.0,0.0,2,Appartement,,3,0,76.46,12405.179178655508
2021,720000.0,1,0.0,61.88,0.0,0.0,0.0,2,Appartement,,2,0,61.88,11635.423400129283
2021,670430.0,8,52.45,0.0,0.0,0.0,0.0,1,Appartement,,2,0,52.45,12782.268827454718
2021,225000.0,3,20.47,0.0,0.0,0.0,0.0,1,Appartement,,1,0,20.47,10991.695163654129
2021,442000.0,3,32.24,0.0,0.0,0.0,0.0,1,Appartement,,1,0,32.24,13709.677419354837
2021,1320000.0,8,124.1,0.0,0.0,0.0,0.0,3,Appartement,,3,0,124.1,10636.583400483481
2021,1604558.0,8,110.18,0.0,0.0,0.0,0.0,2,Appartement,,4,0,110.18,14563.060446542022
2021,710738.0,3,0.0,52.3,0.0,0.0,0.0,2,Appartement,,2,0,52.3,13589.636711281071
2021,649000.0,8,55.54,0.0,0.0,0.0,0.0,1,Appartement,,3,0,55.54,11685.271876125315
2021,896500.0,8,74.71,0.0,0.0,0.0,0.0,2,Appartement,,3,0,74.71,11999.732298219784
2021,635000.0,1,0.0,49.37,0.0,0.0,0.0,2,Appartement,,3,0,49.37,12862.061980960098
2021,1818200.0,8,0.0,159.43,0.0,0.0,0.0,2,Appartement,,3,0,159.43,11404.378096970457
2021,390000.0,3,18.73,28.09,0.0,0.0,0.0,2,Appartement,,2,0,46.82,8329.773601025203
2021,180000.0,3,16.23,0.0,0.0,0.0,0.0,1,Appartement,,1,0,16.23,11090.573012939001
2021,520000.0,8,35.51,0.0,0.0,0.0,0.0,1,Appartement,,1,0,35.51,14643.762320473106
2021,170000.0,3,48.33,0.0,0.0,0.0,0.0,1,Appartement,,2,0,48.33,3517.483964411339
2021,880513.0,1,0.0,56.08,0.0,0.0,0.0,2,Appartement,,2,0,56.08,15701.01640513552
2021,445000.0,3,56.05,0.0,0.0,0.0,0.0,1,Appartement,,1,0,56.05,7939.339875111508
2021,445000.0,3,0.0,30.52,0.0,0.0,0.0,2,Appartement,,2,0,30.52,14580.602883355177
2021,285000.0,3,25.35,0.0,0.0,0.0,0.0,1,Appartement,,1,0,25.35,11242.603550295857
2021,530000.0,3,35.71,0.0,0.0,0.0,0.0,1,Appartement,,2,0,35.71,14841.781013721646
2021,1077000.0,8,83.72,0.0,0.0,0.0,0.0,2,Appartement,,4,0,83.72,12864.309603440039
2021,1025000.0,8,99.86,0.0,0.0,0.0,0.0,2,Appartement,,4,0,99.86,10264.370118165432
2021,391000.0,3,32.4,0.0,0.0,0.0,0.0,1,Appartement,,1,0,32.4,12067.901234567902
2021,1095238.0,8,70.16,0.0,0.0,0.0,0.0,1,Appartement,,1,0,70.16,15610.57582668187
2021,1095238.0,8,70.16,0.0,0.0,0.0,0.0,1,Appartement,,2,0,70.16,15610.57582668187
2021,1095238.0,8,70.16,0.0,0.0,0.0,0.0,1,Appartement,,2,0,70.16,15610.57582668187
2021,318000.0,8,24.18,0.0,0.0,0.0,0.0,1,Appartement,,1,0,24.18,13151.36476426799
2021,550000.0,3,42.75,0.0,0.0,0.0,0.0,1,Appartement,,2,0,42.75,12865.497076023392
2021,1150000.0,8,85.04,0.0,0.0,0.0,0.0,2,Appartement,,3,0,85.04,13523.047977422388
2021,590000.0,8,39.6,0.0,0.0,0.0,0.0,1,Appartement,,3,0,39.6,14898.9898989899
2021,1511344.6,8,70.12,0.0,0.0,0.0,0.0,1,Appartement,,4,0,70.12,21553.687963491157
2021,1511344.6,8,70.12,0.0,0.0,0.0,0.0,1,Appartement,,3,0,70.12,21553.687963491157
2021,1511344.6,8,70.12,0.0,0.0,0.0,0.0,1,Appartement,,2,0,70.12,21553.687963491157
2021,1500000.0,8,0.0,131.06,0.0,0.0,0.0,2,Appartement,,5,0,131.06,11445.139630703494
2021,730000.0,3,44.42,0.0,0.0,0.0,0.0,1,Appartement,,2,0,44.42,16434.038721296714
2021,1391304.0,8,133.85,0.0,0.0,0.0,0.0,3,Appartement,,5,0,133.85,10394.501307433695
2021,1330000.0,3,0.0,108.61,0.0,0.0,0.0,2,Appartement,,4,0,108.61,12245.649571862628
2021,450000.0,8,25.65,0.0,0.0,0.0,0.0,2,Appartement,,1,0,25.65,17543.85964912281
2021,2348120.0,8,171.54,0.0,0.0,0.0,0.0,2,Appartement,,6,0,171.54,13688.469161711555
2021,423500.0,3,37.34,0.0,0.0,0.0,0.0,2,Appartement,,2,0,37.34,11341.724692019281
2021,2208000.0,1,135.04,0.0,0.0,0.0,0.0,2,Appartement,,5,0,135.04,16350.710900473934
2021,920000.0,3,81.18,0.0,0.0,0.0,0.0,1,Appartement,,3,0,81.18,11332.840601133283
2021,425000.0,3,30.43,0.0,0.0,0.0,0.0,2,Appartement,,2,0,30.43,13966.480446927375
2021,1255000.0,8,64.44,0.0,0.0,0.0,0.0,2,Appartement,,2,0,64.44,19475.48106765984
2021,590500.0,8,0.0,67.01,0.0,0.0,0.0,2,Appartement,,2,0,67.01,8812.117594388896
2021,731000.0,8,0.0,59.67,0.0,0.0,0.0,2,Appartement,,2,0,59.67,12250.712250712251
2021,1363000.0,8,101.79,0.0,0.0,0.0,0.0,2,Appartement,,4,0,101.79,13390.31339031339
2021,232515.0,3,43.33,0.0,0.0,0.0,0.0,1,Appartement,,2,0,43.33,5366.143549503809
2021,1348800.0,8,100.1,0.0,0.0,0.0,0.0,1,Appartement,,2,0,100.1,13474.525474525475
2021,785500.0,3,63.42,0.0,0.0,0.0,0.0,2,Appartement,,3,0,63.42,12385.68274992116
2021,906246.0,3,64.48,0.0,0.0,0.0,0.0,1,Appartement,,3,0,64.48,14054.683622828783
2021,2450000.0,8,131.67,0.0,0.0,0.0,0.0,2,Appartement,,6,0,131.67,18607.123870281768
2021,517000.0,3,31.02,0.0,0.0,0.0,0.0,1,Appartement,,2,0,31.02,16666.666666666668
2021,200000.0,8,0.0,22.07,0.0,0.0,0.0,4,Appartement,,2,0,22.07,9062.075215224286
2021,437500.0,1,0.0,23.5,0.0,0.0,0.0,2,Appartement,,1,0,23.5,18617.021276595744
2021,30000.0,3,2.2,0.0,0.0,0.0,0.0,1,Appartement,,1,0,2.2,13636.363636363636
2021,1236250.0,3,0.0,86.81,0.0,0.0,0.0,2,Appartement,,4,0,86.81,14240.870867411588
2021,1820000.0,1,115.83,0.0,0.0,0.0,0.0,1,Appartement,,4,0,115.83,15712.682379349046
2021,320000.0,3,26.6,0.0,0.0,0.0,0.0,1,Appartement,,2,0,26.6,12030.075187969924
2021,320000.0,3,26.6,0.0,0.0,0.0,0.0,2,Appartement,,1,0,26.6,12030.075187969924
2021,750000.0,8,0.0,0.0,40.4,0.0,0.0,3,Appartement,,2,0,40.4,18564.356435643564
2021,1035000.0,1,69.19,0.0,0.0,0.0,0.0,2,Appartement,,4,0,69.19,14958.809076456137
